season,episode,title,directed_by,written_by,air_date,us_views_millions,imdb_rating
8,10,The One with Monica's Boots,Kevin S. Bright,Story by: Robert CarlockTeleplay by: Brian Buckner & Sebastian Jones,12/6/01,22.44,8.1
8,11,The One with Ross's Step Forward,Gary Halvorson,Robert Carlock,12/13/01,23.85,8
8,12,The One Where Joey Dates Rachel,David Schwimmer,Sherry Bilsing-Graham & Ellen Plummer,1/10/02,25.53,8.6
8,13,The One Where Chandler Takes a Bath,Ben Weiss,Vanessa McCarthy,1/17/02,29.24,8.6
8,14,The One with the Secret Closet,Kevin S. Bright,Brian Buckner & Sebastian Jones,1/31/02,28.64,8.2
8,15,The One with the Birthing Video,Kevin S. Bright,Dana Klein Borkow,2/7/02,28.64,8.4
8,16,The One Where Joey Tells Rachel,Ben Weiss,Andrew Reich & Ted Cohen,2/28/02,27.52,8.3
8,17,The One with the Tea Leaves,Gary Halvorson,Story by: R. Lee Fleming Jr.Teleplay by: Steven Rosenhaus,3/7/02,26.3,8.1
8,18,The One in Massapequa,Gary Halvorson,Story by: Peter TibbalsTeleplay by: Mark Kunerth,3/28/02,22.05,8.2
8,19,The One with Joey's Interview,Gary Halvorson,Doty Abrams,4/4/02,22.59,7.5
8,20,The One with the Baby Shower,Kevin S. Bright,Sherry Bilsing-Graham & Ellen Plummer,4/25/02,22.24,8.2
8,21,The One with the Cooking Class,Gary Halvorson,Story by: Dana Klein BorkowTeleplay by: Brian Buckner & Sebastian Jones,5/2/02,23.97,8.2
8,22,The One Where Rachel Is Late,Gary Halvorson,Shana Goldberg-Meehan,5/9/02,24.32,8.3
8,23,The One Where Rachel Has a Baby,Kevin S. Bright,Scott Silveri,5/16/02,34.91,8.8
8,24,The One Where Rachel Has a Baby,Kevin S. Bright,Marta Kauffman & David Crane,5/16/02,34.91,8.9
9,1,The One Where No One Proposes,Kevin S. Bright,Sherry Bilsing-Graham & Ellen Plummer,9/26/02,34.01,8.6
9,2,The One Where Emma Cries,Sheldon Epps,Dana Klein Borkow,10/3/02,28.93,8.6
9,3,The One with the Pediatrician,Roger Christiansen,Brian Buckner & Sebastian Jones,10/10/02,26.63,8.2
9,4,The One with the Sharks,Ben Weiss,Andrew Reich & Ted Cohen,10/17/02,25.82,8.2
9,5,The One with Phoebe's Birthday Dinner,David Schwimmer,Scott Silveri,10/31/02,24.46,8.5
9,6,The One with the Male Nanny,Kevin S. Bright,David Crane & Marta Kauffman,11/7/02,27.51,8.4
9,7,The One with Ross's Inappropriate Song,Gary Halvorson,Robert Carlock,11/14/02,25.35,8.7
9,8,The One with Rachel's Other Sister,Kevin S. Bright,Shana Goldberg-Meehan,11/21/02,26.76,8.8
9,9,The One with Rachel's Phone Number,Ben Weiss,Mark Kunerth,12/5/02,25.43,8.2
9,10,The One with Christmas in Tulsa,Kevin S. Bright,Doty Abrams,12/12/02,22.29,7.5
9,11,The One Where Rachel Goes Back to Work,Gary Halvorson,Story by: Judd RubinTeleplay by: Peter Tibbals,1/9/03,23.67,8
9,12,The One with Phoebe's Rats,Ben Weiss,Story by: Dana Klein BorkowTeleplay by: Brian Buckner & Sebastian Jones,1/16/03,23.66,8
9,13,The One Where Monica Sings,Gary Halvorson,Story by: Sherry Bilsing-Graham & Ellen PlummerTeleplay by: Steven Rosenhaus,1/30/03,25.82,8.2
9,14,The One with the Blind Dates,Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,2/6/03,23.37,8.2
9,15,The One with the Mugging,Gary Halvorson,Peter Tibbals,2/13/03,20.85,8.3
9,16,The One with the Boob Job,Gary Halvorson,Mark Kunerth,2/20/03,19.52,8.2
9,17,The One with the Memorial Service,Gary Halvorson,Story by: Robert CarlockTeleplay by: Brian Buckner & Sebastian Jones,3/13/03,21,8.5
9,18,The One with the Lottery,Gary Halvorson,Story by: Brian Buckner & Sebastian JonesTeleplay by: Sherry Bilsing-Graham & Ellen Plummer,4/3/03,20.79,8.6
9,19,The One with Rachel's Dream,Terry Hughes,Story by: Dana Klein BorkowTeleplay by: Mark Kunerth,4/17/03,18.25,8.1
9,20,The One with the Soap Opera Party,Sheldon Epps,Story by: Shana Goldberg-MeehanTeleplay by: Andrew Reich & Ted Cohen,4/24/03,20.71,8.3
9,21,The One with the Fertility Test,Gary Halvorson,Story by: Scott SilveriTeleplay by: Robert Carlock,5/1/03,19.03,8.2
9,22,The One with the Donor,Ben Weiss,Andrew Reich & Ted Cohen,5/8/03,19.55,7.8
9,23,The One in Barbados,Kevin S. Bright,Shana Goldberg-Meehan & Scott Silveri,5/15/03,25.46,8.5
9,24,The One in Barbados,Kevin S. Bright,Marta Kauffman & David Crane,5/15/03,25.46,8.7
10,1,The One After Joey and Rachel Kiss,Kevin S. Bright,Andrew Reich & Ted Cohen,9/25/03,24.54,8.5
10,2,The One Where Ross Is Fine,Ben Weiss,Sherry Bilsing-Graham & Ellen Plummer,10/2/03,22.38,8.8
10,3,The One with Ross's Tan,Gary Halvorson,Brian Buckner,10/9/03,21.87,8.8
10,4,The One with the Cake,Gary Halvorson,Robert Carlock,10/23/03,18.77,8.3
10,5,The One Where Rachel's Sister Babysits,Roger Christiansen,Dana Klein Borkow,10/30/03,19.37,8.2
10,6,The One with Ross's Grant,Ben Weiss,Sebastian Jones,11/6/03,20.38,8.2
10,7,The One with the Home Study,Kevin S. Bright,Mark Kunerth,11/13/03,20.21,8.3
10,8,The One with the Late Thanksgiving,Gary Halvorson,Shana Goldberg-Meehan,11/20/03,20.66,8.9
10,9,The One with the Birth Mother,David Schwimmer,Scott Silveri,1/8/04,25.49,8.6
10,10,The One Where Chandler Gets Caught,Gary Halvorson,Doty Abrams,1/15/04,26.68,8
10,11,The One Where the Stripper Cries,Kevin S. Bright,David Crane & Marta Kauffman,2/5/04,24.91,9
10,12,The One with Phoebe's Wedding,Kevin S. Bright,Robert Carlock & Dana Klein Borkow,2/12/04,25.9,8.9
10,13,The One Where Joey Speaks French,Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,2/19/04,24.27,8.5
10,14,The One with Princess Consuela,Gary Halvorson,Story by: Robert CarlockTeleplay by: Tracy Reilly,2/26/04,22.83,8.6
10,15,The One Where Estelle Dies,Gary Halvorson,Story by: Mark KunerthTeleplay by: David Crane & Marta Kauffman,4/22/04,22.64,8.5
10,16,The One with Rachel's Going Away Party,Gary Halvorson,Andrew Reich & Ted Cohen,4/29/04,24.51,8.9
10,17,The Last One,Kevin S. Bright,Marta Kauffman & David Crane,5/6/04,52.46,9.7
10,18,The Last One,Kevin S. Bright,Marta Kauffman & David Crane,5/6/04,52.46,9.7
